preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it has a short body,frog,27,1,1,has a short body
it can swim,frog,27,10,7,swims
it has bulging eyes,frog,27,9,8,has bulging eyes
it is a mammal,fox,27,10,10,is a mammal
it has fur,fox,27,10,10,has fur
it is carnivorous,fox,27,10,4,is carnivorous
it has a bushy tail,fox,27,10,10,has a bushy tail
it is nocturnal,fox,27,10,10,is nocturnal
it is a member of the canidae family,fox,27,4,4,is a member of the canidae family
it has pointed ears,fox,27,6,5,has pointed ears
it is an omnivore,fox,27,9,2,is an omnivore
it has sharp teeth,fox,27,10,7,has sharp teeth
it is fast,fox,27,9,2,is fast
it lives in dens,fox,27,4,4,lives in dens
it is used for entry and exit,gate,27,5,5,is used for exit
it is used for entry and exit,gate,27,4,4,is used for entry
it can be locked,gate,27,10,10,is locked
it is a barrier,gate,27,9,9,is a barrier
it swings open and closed,gate,27,1,1,swings open and closed
it is made of metal or wood,gate,27,10,8,is made of metal
it is made of metal or wood,gate,27,10,8,is made of wood
it can be found in fences or walls,gate,27,2,2,is found in walls
it can be found in fences or walls,gate,27,2,2,is found in fences
it provides security,gate,27,8,7,provides security
it can be manual or automatic,gate,27,10,9,is automatic
it can be manual or automatic,gate,27,10,9,is manual
it can have a latch or hinges,gate,27,4,4,has a latch
it can have a latch or hinges,gate,27,1,1,has a hinges
it can be decorative or functional,gate,27,10,1,is functional
it can be decorative or functional,gate,27,10,3,is decorative
it is used in cooking,garlic,27,10,8,is used in cooking
it has a strong smell,garlic,27,10,10,has a strong smell
it is a bulb,garlic,27,10,10,is a bulb
it has cloves,garlic,27,10,10,has cloves
it is white,garlic,27,10,10,is white
it is a vegetable,garlic,27,10,2,is a vegetable
it is used for flavoring,garlic,27,5,5,is used to flavor
it has antimicrobial properties,garlic,27,2,2,has antimicrobial properties
it grows underground,garlic,27,10,8,grows underground
it has a papery skin,garlic,27,5,5,has a papery skin
it is used in various cuisines,garlic,27,6,3,is used in various cuisines
it is a mammal,giraffe,27,10,10,is a mammal
it has a long neck,giraffe,27,10,10,has a long neck
it is herbivorous,giraffe,27,10,4,is herbivorous
it is native to africa,giraffe,27,9,2,is native to africa
it has spots,giraffe,27,10,10,has spots
it has a long tongue,giraffe,27,9,9,has a long tongue
it is the tallest land animal,giraffe,27,1,1,is the tallest land animal
it has ossicones (horn-like structures) on its head,giraffe,27,3,3,has ossicones on its head
it has a small hump on its back,giraffe,27,1,1,has a small hump on its back
it has long legs,giraffe,27,10,4,has long legs
it is a type of fish,goldfish,27,1,1,is a fish
it lives in water,goldfish,27,10,9,lives in water
it is often kept as a pet,goldfish,27,2,1,is often kept as a pet
it has scales,goldfish,27,10,10,has scales
it has fins,goldfish,27,10,10,has fins
it is small,goldfish,27,10,8,is small
it is orange or gold in color,goldfish,27,7,7,is orange or gold in color
it has gills for breathing underwater,goldfish,27,2,1,has gills for breathing underwater
it swims,goldfish,27,10,7,swims
it can be found in ponds and aquariums,goldfish,27,1,1,is found in ponds and aquariums
it is a freshwater species,goldfish,27,3,3,is freshwater
it is a freshwater species,goldfish,27,5,1,is a species
it is a freshwater species,goldfish,27,1,1,is a freshwater species
it is a mammal,goat,27,10,10,is a mammal
it has hooves,goat,27,10,10,has hooves
it has horns,goat,27,10,10,has horns
it is a herbivore,goat,27,10,5,is a herbivore
it is used for milk,goat,27,7,3,is used for milk
it is used for meat,goat,27,10,7,is used for meat
it can climb steep terrain,goat,27,8,8,climbs steep terrain
it has a beard,goat,27,10,10,has a beard
it has rectangular pupils,goat,27,1,1,has rectangular pupils
it is a domesticated animal,goat,27,9,2,is a domesticated animal
it is a domesticated animal,goat,27,10,5,is an animal
it is a domesticated animal,goat,27,10,9,is domesticated
it can be found in various sizes and breeds,goat,27,1,1,is found in various sizes and breeds
it is a bird,goose,27,10,10,is a bird
it has feathers,goose,27,10,10,has feathers
it can fly,goose,27,10,10,flies
it has a beak,goose,27,10,8,has a beak
it has webbed feet,goose,27,10,10,has webbed feet
it is often found near water,goose,27,1,1,is often found near water
it can swim,goose,27,10,8,swims
it is larger than a duck,goose,27,3,3,is larger than a duck
it can be domesticated,goose,27,10,3,is domesticated
it is known for being territorial and aggressive at times,goose,27,1,1,is known for being territorial and aggressive at times
it lays eggs,goose,27,10,10,lays eggs
it has a long neck,goose,27,10,5,has a long neck
it is a mammal,gorilla,27,10,9,is a mammal
it is a primate,gorilla,27,10,10,is a primate
it is large,gorilla,27,10,10,is large
it is strong,gorilla,27,10,10,is strong
it has black fur,gorilla,27,8,6,has black fur
it has opposable thumbs,gorilla,27,10,10,has opposable thumbs
it lives in the forests of africa,gorilla,27,1,1,lives in the forests of africa
it is an herbivore,gorilla,27,8,6,is a herbivore
it lives in social groups called troops,gorilla,27,5,5,lives in social groups called troops
it has a dominant male called a silverback,gorilla,27,1,1,has a dominant male called a silverback
it is acidic,grapefruit,27,6,3,is acidic
it is a citrus fruit,grapefruit,27,6,5,is a citrus fruit
it is eaten in salads,grapefruit,27,3,1,is eaten in salads
it is eaten as a snack,grapefruit,27,10,1,is eaten as a snack
it has a rind,grapefruit,27,8,1,has a rind
it is eaten for breakfast,grapefruit,27,2,2,is eaten for breakfast
it is juicy,grapefruit,27,10,10,is juicy
it is a fruit,grapefruit,27,10,9,is a fruit
it grows on trees,grapefruit,27,10,7,grows on trees
it has seeds,grapefruit,27,10,8,has seeds
it is round,grapefruit,27,10,9,is round
it has a bitter taste,grapefruit,27,5,4,has a bitter taste
it is rich in vitamin c,grapefruit,27,8,6,is rich in vitamin c
they are round,grape,27,10,9,is round
they are juicy,grape,27,10,10,is juicy
they are fruits,grape,27,1,1,is a fruit
they grow on vines,grape,27,10,10,grows on vines
they have seeds (some varieties),grape,27,10,6,has seeds
they come in different colors (red,grape,27,7,5,comes in different colors
they have a thin skin,grape,27,10,7,has a thin skin
they can be eaten fresh or dried (raisins),grape,27,9,3,is eaten fresh or dried
they are used to make wine,grape,27,9,9,is used to make wine
it is an insect,grasshopper,27,10,10,is an insect
it has six legs,grasshopper,27,10,8,has six legs
it can jump,grasshopper,27,10,6,jumps
it has wings,grasshopper,27,10,10,has wings
it can fly,grasshopper,27,10,8,flies
it has antennae,grasshopper,27,10,10,has antennae
it is green or brown,grasshopper,27,10,10,is green
it is green or brown,grasshopper,27,10,8,is brown
it is found in grassy areas,grasshopper,27,2,2,is found in grassy areas
it is an herbivore,grasshopper,27,8,1,is a herbivore
it is part of the order orthoptera,grasshopper,27,1,1,is part of the order orthoptera
it has a segmented body,grasshopper,27,10,1,has a segmented body
it is explosive,grenade,27,10,10,is explosive
it is a weapon,grenade,27,10,9,is a weapon
it is small,grenade,27,10,10,is small
it is handheld,grenade,27,10,5,is handheld
it has a pin,grenade,27,9,8,has a pin
it is used in warfare,grenade,27,10,7,is used in warfare
it has a safety lever,grenade,27,8,8,has a safety lever
it can cause injury or death,grenade,27,9,6,causes death
it can cause injury or death,grenade,27,9,6,causes injury
it can be thrown,grenade,27,7,6,is thrown
it has a timed fuse,grenade,27,6,6,has a timed fuse
it creates shrapnel upon detonation,grenade,27,2,2,creates shrapnel upon detonation
it is used by military forces,grenade,27,3,3,is used by military forces
it is made of metal or plastic,grater,27,10,10,is made of metal
it is made of metal or plastic,grater,27,10,6,is made of plastic
it has sharp edges,grater,27,8,8,has sharp edges
it is used for grating food,grater,27,1,1,is used to grate food
it has holes,grater,27,10,5,has holes
it is a kitchen tool,grater,27,5,4,is a kitchen tool
it is used for grating cheese,grater,27,6,6,is used to grate cheese
it can be handheld or standalone,grater,27,10,1,is handheld
it can be handheld or standalone,grater,27,1,1,is standalone
it comes in different sizes and shapes,grater,27,7,2,comes in different sizes and shapes
it has a handle,grater,27,10,10,has a handle
it can be used for grating vegetables and fruits,grater,27,1,1,is used to grate vegetables and fruits
it has strings,guitar,27,10,10,has strings
it is a musical instrument,guitar,27,10,10,is an instrument
it is a musical instrument,guitar,27,10,10,is a musical instrument
it is a musical instrument,guitar,27,10,10,is musical
it is made of wood,guitar,27,10,9,is made of wood
it has frets,guitar,27,10,9,has frets
it can be acoustic or electric,guitar,27,10,8,is electric
it can be acoustic or electric,guitar,27,8,8,is acoustic
it has a sound hole (for acoustic guitars),guitar,27,4,4,has a sound hole
it has tuning pegs,guitar,27,10,9,has tuning pegs
it has a neck,guitar,27,10,9,has a neck
it has a body,guitar,27,2,2,has a body
it is played with fingers or a pick,guitar,27,8,6,is played with fingers or a pick
it produces sound by vibrating strings,guitar,27,1,1,produces sound by vibrating strings
it has a handle,hammer,27,10,9,has a handle
it is used for striking nails,hammer,27,1,1,is used to strike nails
it is made of metal and wood,hammer,27,10,8,is made of metal
it is made of metal and wood,hammer,27,10,6,is made of wood
it has a flat head,hammer,27,7,6,has a flat head
it has a claw for removing nails,hammer,27,8,8,has a claw for removing nails
it is heavy,hammer,27,10,9,is heavy
it is a hand tool,hammer,27,8,6,is a hand tool
it is used in construction,hammer,27,10,9,is used in construction
it is used in woodworking,hammer,27,10,3,is used in woodworking
it is used for demolition,hammer,27,7,4,is used for demolition
it can be used as a weapon,hammer,27,10,1,is used as a weapon
it is a weapon,gun,27,10,9,is a weapon
it is used for self-defense,gun,27,10,10,is used for self - defense
it is used for hunting,gun,27,10,5,is used to hunt
it is made of metal,gun,27,10,9,is made of metal
it has a trigger,gun,27,10,10,has a trigger
it uses bullets or cartridges,gun,27,6,4,uses bullets
it uses bullets or cartridges,gun,27,5,2,uses cartridges
it can be lethal,gun,27,9,7,is lethal
it can be dangerous,gun,27,10,7,is dangerous
it requires a license in some jurisdictions,gun,27,1,1,requires a license in some jurisdictions
it comes in various calibers and types (e.g.,gun,27,1,1,comes in various calibers and types
it is small,hamster,27,10,10,is small
it is a mammal,hamster,27,10,7,is a mammal
it is a rodent,hamster,27,10,9,is a rodent
it has fur,hamster,27,10,8,has fur
it has whiskers,hamster,27,10,10,has whiskers
it has small ears,hamster,27,10,9,has small ears
it has a short tail,hamster,27,9,9,has a short tail
it is a popular pet,hamster,27,10,10,is a pet
it is a popular pet,hamster,27,9,2,is popular
it is a popular pet,hamster,27,8,2,is a popular pet
it is nocturnal,hamster,27,10,10,is nocturnal
it has sharp teeth,hamster,27,10,4,has sharp teeth
it eats seeds and vegetables,hamster,27,6,5,eats vegetables
it eats seeds and vegetables,hamster,27,9,5,eats seeds
it stores food in cheek pouches,hamster,27,3,3,stores food in cheek pouches
it is a musical instrument,harp,27,10,10,is an instrument
it is a musical instrument,harp,27,10,10,is a musical instrument
it is a musical instrument,harp,27,10,10,is musical
it has strings,harp,27,10,10,has strings
it produces sound,harp,27,10,1,produces sound
it is played by plucking,harp,27,8,8,is played by plucking
it has a curved frame,harp,27,2,2,has a curved frame
it is made of wood,harp,27,10,2,is made of wood
it comes in various sizes,harp,27,10,2,comes in various sizes
it has a resonating chamber,harp,27,2,1,has a resonating chamber
it is used in orchestras,harp,27,10,6,is used in orchestras
it can be played solo or in ensembles,harp,27,2,2,is played solo or in ensembles
it is a musical instrument,harmonica,27,10,10,is an instrument
it is a musical instrument,harmonica,27,10,10,is a musical instrument
it is a musical instrument,harmonica,27,10,10,is musical
it is small,harmonica,27,10,10,is small
it is portable,harmonica,27,10,10,is portable
it has reeds,harmonica,27,9,6,has reeds
it is played by blowing air into it,harmonica,27,10,9,is played by blowing air into it
it is played by drawing air out of it,harmonica,27,1,1,is played by drawing air out of it
it produces sound,harmonica,27,10,7,produces sound
it has holes,harmonica,27,10,3,has holes
it is made of metal or plastic,harmonica,27,10,4,is made of metal
it is made of metal or plastic,harmonica,27,10,4,is made of plastic
it is used in various music genres such as blues,harmonica,27,10,1,is used in various music genres
it has a sharp blade,hatchet,27,6,4,has a sharp blade
it is used for chopping,hatchet,27,7,5,is used to chop
it is made of metal,hatchet,27,10,8,is made of metal
it has a wooden handle,hatchet,27,3,2,has a wooden handle
it is a tool,hatchet,27,10,9,is a tool
it is small,hatchet,27,10,7,is small
it is portable,hatchet,27,10,6,is portable
it is used for cutting wood,hatchet,27,5,4,is used to cut wood
it is used for camping,hatchet,27,10,3,is used to camp
it can be dangerous,hatchet,27,10,3,is dangerous
it is used in survival situations,hatchet,27,3,2,is used in survival situations
